,title,agency,date,status,purpose,period_covered,link,reason_denial
394,SALN of Vice President 2020,OVP,2022-01-07,PENDING,For research purposes,01/07/2019 - 01/07/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yODY2NTk1MzI4NTIM,
395,"Credentials, Resume, SALN & Travel Expenses of the Vice President",OVP,2022-01-23,PENDING,Research for a school paper,06/30/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC00NDU2MjA1NjA4OTAM,
396,OVP SALN and Updated CV,PUP,2022-01-24,DENIED,For research purposes.,01/24/2016 - 01/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBVUC0wNzgwODk2MjgxMjUM,
397,"SALN of Ferdinand ""Bongbong"" Marcos Jr.",PCGG,2022-01-24,SUCCESSFUL,Research and Development,01/01/2016 - 01/01/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDR0ctMzU5Mjc5MTU1NDI4DA,
398,"SALN of Ferdinand ""Bongbong"" Marcos Jr.",PCGG,2022-05-05,DENIED,Research and Development,01/01/2016 - 01/01/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDR0ctNDM2NTQ5NzI4NTgxDA,
401,SALN Leni Robredo,OVP,2022-01-25,PENDING,Fact check,01/01/2021 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0wOTMyODkyMzIxNTAM,
402,Request for VP Leni Robredo SALN form,OVP,2022-01-25,PENDING,Research and Development,01/25/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0zNDk3NzQ5NzI3NzgM,
403,"Request for Senator Panfilo ""Ping"" M. Lacson SALN form",OVP,2022-01-25,PENDING,To see how fit he is to run the country,01/25/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC04NTA3MDczNDM2NzcM,
404,Latest SALN of Vice President Leni Robredo,OVP,2022-01-25,PENDING,Research,01/01/2020 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0xMDIzMjkxMDMwMDEM,
405,VP Leni's SALN and accomplishments including financial reports,OVP,2022-01-31,PENDING,Personal Research for 2022 Presidential Election,06/30/2016 - 01/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC01MjczNjYxNTQyMjQM,
406,SALN Of VP Leni Robredo,OVP,2022-02-04,PENDING,Research for Journalism Article,02/04/2022 - 02/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0wNDMzODM5MDM3NDAM,
407,SALN of VP Robredo from 2016-2022,OVP,2022-02-13,PENDING,Research and Development,12/31/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC05NjMyOTk3NTk1MjUM,
408,SALN request,OVP,2022-02-14,PENDING,For Research use,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yNDc3MzY4ODQ0ODIM,
409,"SALN, CV and Accomplishment Report",OVP,2022-02-16,PENDING,Research,02/16/2010 - 02/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC05NjM0NTA2MzA2ODMM,
410,SALN OF THE VICE PRESIDENT,OVP,2022-02-27,PENDING,Research,01/01/2021 - 12/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0xNzgwMTYzODMwNzMM,
411,OVP -SALN REPORT,OVP,2022-03-11,PENDING,Background Search for upcoming elections,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC05MDcyMDU3Nzg4ODkM,
412,SALN of the OVP,OVP,2022-03-13,PENDING,Forr Research and clarification. Also to check if there's transparency.,01/01/2016 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yMDI2MDk1NzE5OTUM,
413,SALN OF VICE PRESIDENT,OVP,2022-03-13,PENDING,Transparency,03/13/2022 - 03/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC04OTE5MTQ2OTM3NTIM,
414,SALN of Vice President Robredo,OVP,2022-03-15,PENDING,Research,01/01/2010 - 03/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0wNjkyNDcxNDcyOTAM,
415,SALN - Agnes Joyce G. Bailen,OP,2022-03-19,PENDING,"Research and development - voter education, know the senatorial candidates",01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD09QLTU5NDUzMzQzNjUxMgw,
416,SALN - Agnes Joyce G. Bailen,DBM,2022-03-19,REFERRED,"Research and development - voter education, know the senatorial candidates",01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERCTS01MTQ2ODQ4MTg2NTAM,
419,SALN of Ferdinand Marcos Sr. before and after his presidency,PCGG,2022-04-18,DENIED,Research,02/25/0001 - 02/25/1986,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDR0ctNjUwNjk0NTIxMTYwDA,
420,SALN of Ferdinand Marcos Sr. before and after his presidency,PCGG,2022-05-08,PENDING,Research,12/30/1965 - 02/25/1986,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDR0ctMzEwNjA2OTM1MzY1DA,
423,JOHN CASTRO SALN OF VP LENI,OVP,2022-04-20,PENDING,My I ask a copy of SALN of VP Leni Robredo. I just want to use it for my research.,01/01/2016 - 04/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC02MTQ2ODkzMzg0MjEM,
424,JOHN CASTRO SALN OF VP LENI,OVP,2022-04-20,AWAITING CLARIFICATION,My I ask a copy of SALN of VP Leni Robredo. I just want to use it for my research.,01/01/2016 - 04/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC02MTQ2ODkzMzg0MjEM,
427,SALN OF FERDINAND MARCOS JR. 2010-2016,PCGG,2022-04-21,PENDING,For information,01/01/2010 - 06/30/2016,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDR0ctMTE4MDEyNzYyNDcxDA,
428,SALN OF FERDINAND MARCOS JR. 2010-2016,PCGG,2022-04-21,DENIED,For information,01/01/2010 - 06/30/2016,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDR0ctMTE4MDEyNzYyNDcxDA,
431,"SALN,CDP and accomplish plans and projects of Vice President Leni Robredo",OVP,2022-04-24,PENDING,"For research and to share credible sources to my friends, collegues and relatives",07/01/2016 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC02NTU1MzE2NDMwNTkM,
432,"SALN,CDP and accomplish plans and projects of Vice President Leni Robredo",OVP,2022-04-24,AWAITING CLARIFICATION,"For research and to share credible sources to my friends, collegues and relatives",07/01/2016 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC02NTU1MzE2NDMwNTkM,
435,SALNs of VP Leni Robredo,OVP,2022-04-27,PENDING,Research on Politics,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yNTkyNzI1NzA2MjYM,
436,SALNs of VP Leni Robredo,OVP,2022-04-27,AWAITING CLARIFICATION,Research on Politics,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yNTkyNzI1NzA2MjYM,
439,SALN Vice President Leni Robredo,OVP,2022-04-27,PENDING,Research and Fact Checking for School Purposes,12/25/2021 - 04/27/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0xMjI4OTQyMDczMTMM,
440,SALN Vice President Leni Robredo,OVP,2022-04-27,AWAITING CLARIFICATION,Research and Fact Checking for School Purposes,12/25/2021 - 04/27/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0xMjI4OTQyMDczMTMM,
443,Ferdinand Marcos Jr. SALN during his term as Senator,PCGG,2022-05-05,DENIED,Research and Development,07/01/2010 - 06/30/2016,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDR0ctMDIzNTc5NDEzODM5DA,
444,SALN or Ferdinand marcos SR.,BIR,2022-05-13,DENIED,Research,12/31/1960 - 12/31/1965,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi02NjEzMzE0Mjg2NTAM,
445,SALN or Ferdinand marcos SR.,BIR,2022-05-13,PENDING,Research,12/31/1960 - 12/31/1965,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi02NjEzMzE0Mjg2NTAM,
448,Sworn SALN of Vice President Leni G. Robredo,OVP,2022-06-14,AWAITING CLARIFICATION,For transparency purposes,06/30/2016 - 06/14/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC01NzQ2NTk3NTQyNzIM,
449,Sworn SALN of Vice President Leni G. Robredo,OVP,2022-06-14,PENDING,For transparency purposes,06/30/2016 - 06/14/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC01NzQ2NTk3NTQyNzIM,
452,"All Statements of Assets, Liabilities, Net Worth (SALN) of President Rodrigo Duterte",PMS,2022-06-16,PENDING,News reporting,01/01/2018 - 06/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBNUy0wMjg3ODIyNzEzMjAM,
453,"The latest Statement of Assets, Liabilities, and Net Worth (SALN) of CCP Chairperson Margie Moran",CCP,2022-06-22,PENDING,Research and Development,06/22/2022 - 06/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENDUC03NjAxNjQ2Nzk0MDUM,
454,"Request for SALN Copy of the Mayors of Buruanga, Aklan from 2004 to Present",DILG,2022-07-15,DENIED,Research,01/01/2004 - 07/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJTEctNzg0Njg0NzQwOTI2DA,
455,"CDLB, SALN & PDS",PNP,2022-08-06,DENIED,Proof of updated record,01/01/2015 - 08/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC05Njg3NjQxMTQzNjEM,
456,"CDLB, SALN & PDS",PNP,2022-08-06,PENDING,Proof of updated record,01/01/2015 - 08/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC05Njg3NjQxMTQzNjEM,
459,SALN of Former DOH Sec. Dr. Francisco Duque III,DOH,2022-09-05,PENDING,Research,01/01/2018 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xNDg5NzcxNzY5MDIM,
460,SALN of Former DOH Sec. Dr. Francisco Duque III,DOH,2022-09-05,PROCESSING,Research,01/01/2018 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xNDg5NzcxNzY5MDIM,
463,SALN of Vice President Sara Z. Duterte,OVP,2022-10-06,PARTIALLY SUCCESSFUL,Research,06/30/2016 - 10/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0xMDkwNjc1MDM5NTMM,
464,SALN of Vice President Sara Z. Duterte,OVP,2022-10-06,PENDING,Research,06/30/2016 - 10/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0xMDkwNjc1MDM5NTMM,
467,SALN of Gerald Bantag as employee of BJMP,BJMP,2022-10-28,SUCCESSFUL,Academic Research,01/01/2014 - 10/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJKTVAtMzY2OTcxNzU4NjQxDA,
468,SALN of Gerald Bantag as employee of BJMP,BJMP,2022-10-28,ACCEPTED,Academic Research,01/01/2014 - 10/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJKTVAtMzY2OTcxNzU4NjQxDA,
471,SALN of Gerald Bantag as employee of BuCor,DOJ,2022-10-28,SUCCESSFUL,Academic research,01/01/2019 - 10/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi0wMjkyNTQ1NDc0ODQM,
472,SALN of Gerald Bantag as employee of BuCor,BUCOR,2022-10-28,DENIED,Academic research,01/01/2019 - 10/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkJVQ09SLTU4NTE1NTkwMTQ5OAw,
473,SALN of Gerald Bantag as employee of BuCor,BUCOR,2022-10-28,PENDING,Academic research,01/01/2019 - 10/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkJVQ09SLTU4NTE1NTkwMTQ5OAw,
474,SALN of Gerald Bantag as employee of BuCor,DOJ,2022-10-28,PENDING,Academic research,01/01/2019 - 10/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi0wMjkyNTQ1NDc0ODQM,
