,title,agency,date,status,purpose,period_covered,link,reason_denial
77,"SALN of Angat, Bulacan Mayor Leonardo R. De Leon",DILG,2017-03-18,DENIED,Research,03/18/2017 - 03/18/2017,,wrong-agency
78,"SALN of Barangay Captain Cesar Aranas of Tibaguin, Hagonoy, Bulacan",LGA,2017-03-23,DENIED,Research,06/30/2015 - 01/30/2017,,—
79,"SALN of Lugam Malolos, Bulacan Barangay Captain Edgardo Domingo",LGA,2017-03-24,DENIED,Research.,03/24/2017 - 03/24/2017,,—
80,"SALN of Bulihan, Plaridel, Bulacan Barangay Captain Esperanza S. Garcia",LGA,2017-04-01,DENIED,Research and Development,08/01/2016 - 02/20/2017,,—
81,"SALN of Baranggay Mojon, Malolos, Bulacan",LGA,2017-04-02,DENIED,rsearch,06/30/2014 - 04/02/2017,,—
82,SALNs of President Duterte's Cabinet officials,PCOO,2017-04-04,PARTIALLY SUCCESSFUL,Research,04/04/2017 - 04/04/2017,,—
83,"SALN of Mojon, Malolos, Bulacan Baranggay Captain Noel Acuna",LGA,2017-04-05,DENIED,Research and Development,06/30/2014 - 04/05/2017,,—
84,Margaux Justiniano Uson's SALN and documents proving donation of her salary to charitable causes,MTRCB,2017-04-20,SUCCESSFUL,Research for Reporting,01/01/2017 - 04/20/2017,,—
85,SALN of President Duterte and cabinet officials,PCOO,2017-04-28,DENIED,Research and reporting,04/28/2017 - 04/28/2017,,wrong-agency
86,SALN of Leni Robredo,OVP,2017-05-26,ACCEPTED,Research,05/25/2017 - 05/25/2017,,—
87,SALN of Leni Robredo,OVP,2021-11-04,AWAITING CLARIFICATION,Academic purposes,01/01/2020 - 12/31/2020,,—
88,SALN of Leni Robredo,OVP,2021-11-14,DENIED,Transparency,11/14/2021 - 11/14/2021,,invalid-request
89,SALN of Leni Robredo,OVP,2021-11-30,AWAITING CLARIFICATION,Research on the background of this presidential candidate,05/01/2020 - 11/30/2021,,—
102,SALNs of President Duterte and his Cabinet officials,PCOO,2017-06-07,DENIED,Research and Reporting,01/01/2016 - 12/31/2016,,wrong-agency
103,SALN of the Vice President and the programs conducted by the OVP,OVP,2017-07-05,ACCEPTED,For Research,06/30/2016 - 07/05/2017,,—
104,SALN of President Duterte and all his cabinet secretaries,PCOO,2017-07-19,DENIED,research and news reporting,06/30/2016 - 04/30/2017,,wrong-agency
105,SALN of VP Leni Robredo,OVP,2017-07-26,SUCCESSFUL,Research and reporting,01/01/2016 - 12/31/2016,,—
106,SALN of VP Leni Robredo,OVP,2021-11-10,AWAITING CLARIFICATION,Tranparency,06/30/2016 - 12/31/2020,,—
107,SALN of VP Leni Robredo,OVP,2022-02-12,PENDING,Research,01/01/2016 - 12/30/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC05NTU5NTIwMzg4NjkM,
